image_id,qa_id,task,qa_type,question,ground_truth,predicted,score,overall
0000-0004,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"**CHAMBRE 1**, with 11.88 m² (vs. 11.63 m² for Chambre 2 and 11.45 m² for Chambre 3).",1.0,1.0
0000-0004,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,**The Garage (23.56 m²)** — second only to the Séjour (44.81 m²).,1.0,1.0
0000-0004,cmp3,largest_toilet,comparison_qa,"Which toilet( TOILET, W.C or BAINS) has the largest area?",The BAINS.,**BAINS** has the largest area at **5.90 m²** (compared to TOIL. at 2.70 m² and W.C at 1.53 m²).,1.0,1.0
0000-0004,cnt1,dinning_chairs,counting_qa,How many chairs are shown in the CUISINE room?,Five (5) chairs.,**4 chairs** — arranged around the round table in the CUISINE (12.61 m²).,0.0,0.0
0000-0004,ocr1,read_room_label,ocr_qa,What is the area of the small TOILET between the CHAMBRE 1 and the CHAMBRE 2?,2.70 m²,The TOIL. (toilet) between Chambre 1 and Chambre 2 has an area of **2.70 m²**.,1.0,1.0
0000-0004,ocr2,read_area_text,ocr_qa,What is the area of the Chambre 2 in square meters?,11.63 m²,**11.63 m²**,1.0,1.0
0000-0004,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE and the ABRI VOITURE.,"**A.CUIS. (arrière-cuisine / back kitchen, 5.66 m²)** — there is an internal door connecting it directly to the GARAGE.",0.0,0.0
0000-0005,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,**Chambre 1** — 10.95 m² (vs. Chambre 2 at 10.20 m² and Chambre 3 at 10.02 m²).,1.0,1.0
0000-0005,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,SALON and SEJOUR 44.38 m²,The **Salon/Séjour** (living room) at **44.38 m²**.,1.0,1.0
0000-0005,cmp3,adjacency,comparison_qa,Which bedroom is closer to the W.C?,Chambre 1,**Chambre 1** (10.95 m²) is closest to the W.C — it is directly adjacent to it.,1.0,1.0
0000-0005,cmp4,larger_area,comparison_qa,"Which room has the larger area, the GARAGE or the ABRI VOITURE?",The GARAGE,The GARAGE is larger: 32.88 m² vs. 16.00 m² for the ABRI VOITURE.,1.0,1.0
0000-0005,cnt1,access_to_degt,counting_qa,How many doors give access to the DEGT space?,Six (6) doors,"**5 doors** — serving Chambre 1, Chambre 2, Chambre 3, Bains, and the W.C. (the connection to the living area is an open passage).",0.0,0.0
0000-0005,ocr1,read_room_label,ocr_qa,What is the size of the ABRI VOITURE in square meters?,16.00 m²,**16.00 m²**,1.0,1.0
0000-0005,ocr2,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,6.31 m²,The BAINS room is **6.31 m²**.,1.0,1.0
0000-0005,sp1,access_to_terrace,spatial_qa,Which bedroom has a window access to the terrace?,Chambre 3,**Chambre 3** (10.02 m²) — its right-side window opens onto the terrace (TERRASSE).,1.0,1.0
1000-0001,cmp1,largest_bedroom,comparison_qa,Which bedroom on Planta Baixa floor has the largest area?,Dormitori 2,**Dormitori 2** — with 11.35 m² (vs. Dormitori 1 at 8.10 m²).,1.0,1.0
1000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in the drawing?,Cuina-Estar-Menjador (Kitchen–Living–Dining),**Cuina-Estar-Menjador** (kitchen-living-dining room) — the largest instance is in PIS 4ª (duplex) at **21.40 m²** (19.50 m² in the ground floor unit shown on the plan).,1.0,1.0
1000-0001,cmp3,closer_door,comparison_qa,Whose DORMITORI door has shorter travelling distance to the TRASTER room on the PLANTA BAIXA floor plan?,The door of Dormitori 1.,**Dormitori 1** — its door is closer to the TRASTER room than Dormitori 2's door on the Planta Baixa.,1.0,1.0
1000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms (dormitary) are available on the PLANTA BAIXA floor?,Two (2) bedrooms,"**2 bedrooms** — Dormitori 1 (8,10 m²) and Dormitori 2 (11,35 m²).",1.0,1.0
1000-0001,ocr1,read_room_label,ocr_qa,What is the listed area of the 'Cuina-Estar-Menjador' on the Planta Baixa?,19.50 m²,"**19,50 m²** (as listed for the Cuina-Estar-Menjador on the Planta Baixa / PIS ""Baixos 1ª"").",1.0,1.0
1000-0001,ocr2,read_area_text,ocr_qa,What is the area of 'Dormitori 1' on the Planta Baixa?,8.10 m²,"**8,10 m²**",1.0,1.0
1000-0001,ocr3,adjacency,ocr_qa,"What is the area of the adjacent room to CUINA-ESTAR-MENJADOR, to the left of the staircase, on Planta PIS 1-2-3?",9.70 m²,"**3,55 m²** — the BANY (bathroom) located between the CUINA-ESTAR-MENJADOR (16,90 m²) and the staircase on the left unit of Planta Pis 1ª-2ª-3ª.",0.0,0.0
1000-0001,sp1,titleblock_location,spatial_qa,Where is the title block located relative to the entire sheet?,Bottom-right corner,The title block is located in the bottom-right corner of the sheet.,1.0,1.0
2000-0002,cmp1,largest_room,comparison_qa,Which room in the plan has the largest area?,Living Room,The Living Room (combined with the open kitchen area) is the largest room in the plan.,1.0,1.0
2000-0002,cnt1,count_window,counting_qa,How many windows does the bedroom have?,One (1) window.,**1 window** — Bedroom 1 has a single egress window on its bottom (south) exterior wall.,1.0,1.0
2000-0002,ocr1,read_floor_area,ocr_qa,What is the listed total square footage of the 1st floor?,914 SQUARE FEET,"**914 square feet** (as labeled ""914 SQUARE FEET 1ST FLOOR"" on the plan).",1.0,1.0
2000-0002,ocr2,read_safety_note,ocr_qa,What does the safety note say about smoke detectors near the hallway?,All smoke detectors linked w/ battery backup.,"The note states: **""ALL SMOKE/CO DETECTORS LINKED W/ BATTERY BACKUP""** — meaning all smoke and carbon monoxide detectors are interconnected and have battery backup.",1.0,1.0
2000-0002,sp1,kitchen_appliances,spatial_qa,Which major appliances are located directly adjacent to the kitchen sink?,Dishwasher and the refrigerator.,"**Adjacent to the kitchen sink:**
- **Dishwasher (DW)** — immediately to the right of the sink
- **Refrigerator (REF) with ice maker** — just beyond the dishwasher on the same counter run

(The range/cooktop is located on the opposite wall, not adjacent to the sink.)",1.0,1.0
2000-0002,sp2,adjacency,spatial_qa,Which room is directly adjacent to the Pantry?,The Kitchen,**The Kitchen** is directly adjacent to the Pantry (along with the small Storage closet beside it).,1.0,1.0
2000-0002,sp3,adjacency,spatial_qa,"Which room is positioned directly beside the Stair, sharing the longest adjoining wall?",Bedroom 1,**Bedroom 1** — it lies directly below the stair and shares the longest adjoining wall with it.,1.0,1.0
3000-0001,cmp1,largest_room,comparison_qa,Which room has the largest area?,Living Room (& Guest Room),"**The Living Room (& Guest Room)** — at roughly 16'-0"" × 13'-6"", it has the largest floor area of any room on the plan.",1.0,1.0
3000-0001,cmp2,bigger_room,comparison_qa,"Which one is bigger? the COATS room behind the entrance, or the UTILITY CLOSET room?",The Utility closet,"**The UTILITY CLOSET is bigger.** It measures roughly 3'-1"" wide, while the COATS closet is only about 2'-2"" × 2'-4"", giving the utility closet a larger floor area.",1.0,1.0
3000-0001,cnt1,count_windows,counting_qa,How many windows are available for the main bedroom?,Two (2) windows,"**2 windows** — one on the north (top) wall and one on the west (left) wall, both marked with the ② window tag.",1.0,1.0
3000-0001,ocr1,read_room_label,ocr_qa,What is the name of the main bedroom shown in the plan?,MAIN BEDROOM,"It is labeled ""MAIN BEDROOM.""",1.0,1.0
3000-0001,ocr2,read_area_text,ocr_qa,What text describes the flooring type in the living room?,"HARDWOOD FLOOR, TYP.","""HARDWOOD FLOOR, TYP.""",1.0,1.0
3000-0001,sp1,item_location,spatial_qa,Where are the woodstoves located?,Living Room (& Guest Room),"The woodstove (labeled ""optional"") is located in the **Living Room**, positioned on the 30x68 stone or tile flooring area near the wall shared with the kitchen.",0.0,0.0
3000-0001,sp2,adjacency,spatial_qa,Which room is directly connected to the MAIN BEDROOM?,the Hall,"The **HALL** is directly connected to the Main Bedroom (via door ""D""), which also provides access to the Bath.",1.0,1.0
3000-0001,sp3,closest_to_staircase,spatial_qa,Which space gives the access to the STAIRS from the main bedroom?,the Kitchen,"**The HALL** — from the main bedroom, you pass through the hall to reach the stairs (14R @ 7.7"") located adjacent to the kitchen.",0.0,0.0
3000-0002,cmp1,closest_to_bath,comparison_qa,Which room is closest to the Bath?,Main Bedroom,**Main Bedroom** — it is directly below/adjacent to the Bath.,1.0,1.0
3000-0002,cmp2,largest_room,comparison_qa,Which room has the largest area?,Main Bedroom,"**Main Bedroom** — at roughly 11'-6"" × 10', it is the largest room on the 2nd floor plan.",1.0,1.0
3000-0002,cmp3,closest_to_staircase,comparison_qa,Which room has the closest access to the STAIRS through the hall?,The bedroom,"**The BEDROOM** (the right-side bedroom) — its door opens directly adjacent to the stairs (marked ""DOWN"") at the end of the hall.",1.0,1.0
3000-0002,cmp4,access_to_roof,comparison_qa,Which room has a window view access to the back addition lean-to-roof? the bath or the bedroom?,The bath,"**The bath** — it is located along the rear (top) wall adjacent to the back addition lean-to roof, with a window overlooking it.",1.0,1.0
3000-0002,cnt1,count_windows,counting_qa,How many windows are available for the main bedroom?,Three (3) windows,"**3 windows** — two on the bottom (south) wall and one on the left (west) wall, each marked with the window tag ②.",1.0,1.0
3000-0002,ocr1,read_slope,ocr_qa,What is the roof slope indicated at the back addition?,2.5/12,The back addition lean-to roof slope is **2.5/12**.,1.0,1.0
3000-0002,ocr2,read_area_text,ocr_qa,What text describes the flooring type in the main bedroom?,"HARDWOOD FLOOR, TYP.","""HARDWOOD FLOOR, TYP.""",1.0,1.0
3000-0002,sp1,adjacency,spatial_qa,Which bedroom is adjacent to the Bath?,Main Bedroom,The **Main Bedroom** is adjacent to the Bath (located directly below it on the plan).,1.0,1.0
3000-0003,cmp1,largest_room,comparison_qa,Which room has the largest area?,Living / Dining Room,"**Living/Dining Room** — at approximately 18'-11"" × 15'-5"" (~290 sq ft), it is the largest room on the plan.",1.0,1.0
3000-0003,cmp2,close_access,comparison_qa,Which room is closely accessible from the living/dinning room? the Screen porch or the mudroom?,The mudroom,"**The mudroom.** It is reached from the living/dining room through the kitchen (via the 32x80 cased opening), whereas the screen porch is only accessible through the main bedroom area on the opposite side of the plan.",1.0,1.0
3000-0003,cnt1,count_windows,counting_qa,How many windows are available for the living/dinning space?,Four (4),**3 windows** — one on the left (west) wall and two on the bottom (south) wall of the Living/Dining Room.,0.0,0.0
3000-0003,ocr1,read_room_label,ocr_qa,What is the name of the large room on the lower half of the plan?,LIVING / DINING ROOM,Living / Dining Room,1.0,1.0
3000-0003,ocr2,read_door_lable,ocr_qa,What is the name of the door that connects the Kitchen and the MUDROOM?,B,"**Door B** — the door tagged with the letter ""B"" (circled) connects the Kitchen and the Mudroom.",1.0,1.0
3000-0003,sp1,kitchen_feature,spatial_qa,What major appliance is positioned directly across from the kitchen sink?,The refrigerator (REF).,"The **refrigerator (REF)** — it sits on the west side of the kitchen, directly across from the sink located on the east wall.",1.0,1.0
3000-0003,sp2,adjacency,spatial_qa,Which room is directly connected to the KITCHEN with 32x80 cased opening?,The LIVING/DINING ROOM,The LIVING / DINING ROOM.,1.0,1.0
3000-0003,sp3,access_to_outside,spatial_qa,Which room has direct access to the SCREEN PORCH?,Main Bedroom,**The Main Bedroom** — it connects to the Screen Porch through a door/step at the porch's lower wall.,1.0,1.0
3000-0004,cmp1,largest_bedrooms,comparison_qa,Which bedroom has the largest area?,Bedroom on the bottom/lower left corner,"**The front-left bedroom** (lower-left) — at roughly 12'-0"" × 10'-0"" (~120 sq ft), it is larger than the rear bedroom (~10' × 10') and the front-right bedroom (~10' × 7'-8"").",1.0,1.0
3000-0004,cmp2,more_windows,comparison_qa,Which bedroom has more windows?,Bedroom on the bottom/lower left corner.,"**The left (southwest) bedroom** — it has 3 windows (one on the left/west wall and two on the bottom/south wall), while the other bedrooms have 2 each.",1.0,1.0
3000-0004,cmp3,fewer_windows,comparison_qa,Which bedroom has fewer windows?,Bedroom on the bottom/lower right corner.,"**The bottom-right bedroom** — it has only one window (on the bottom/front wall), while the bottom-left bedroom has multiple windows (left wall + two front windows) and the rear bedroom has windows on two walls.",1.0,1.0
3000-0004,cnt1,count_window,counting_qa,How many windows does the BATH have?,One (1) window,**One window** – located on the upper (exterior) wall of the BATH.,1.0,1.0
3000-0004,ocr1,read_slope,ocr_qa,What is the slope indicated for the lower shed roof?,2.0/12,The slope is **2/12**.,1.0,1.0
3000-0004,ocr2,read_area_text,ocr_qa,What flooring type is specified for the front bedrooms?,"HARDWOOD FLOOR, TYP.","Hardwood floor (noted as ""HARDWOOD FLOOR, TYP."").",1.0,1.0
3000-0004,sp1,window_shed_roof,spatial_qa,Which room has window facing the shed roof?,REAR BEDROOM,**The Rear Bedroom** — it has a window on its left (west) wall that faces onto the lower shed roof.,1.0,1.0
3000-0004,sp2,no_built_in_closet,spatial_qa,Which bedroom has no built-in closet?,REAR BEDROOM,"**The Rear Bedroom** — both downstairs bedrooms have closets (one labeled ""CLOSET: 36"" RAISED PLATFORM"" and the other a closet nook near the hall), while the rear bedroom shows no closet.",1.0,1.0
3000-0005,cmp1,largest_space,comparison_qa,Which space has the largest area?,Living Room,"**Living Room** — it occupies the largest footprint (roughly 16'-0"" deep by the full ~24' interior width), exceeding the dining, kitchen, mudroom, WC, and other spaces.",1.0,1.0
3000-0005,cmp2,larger_space,comparison_qa,Which room has more space? the WC or the MUDROOM?,The MUDROOM,"**The MUDROOM** has more space. The WC is only about 3'-4"" × 3'-0"", while the mudroom is noticeably larger.",1.0,1.0
3000-0005,cnt1,count_toilet,counting_qa,How many toilets (W.C) does the floor plan have?,One (1) toilet/W.C,**One (1)** toilet — there is a single WC room (with one toilet fixture and sink) located next to the mudroom.,1.0,1.0
3000-0005,ocr1,read_room_label,ocr_qa,What is the name of the room adjacent to the KITCHEN on the right?,MUDROOM,**MUDROOM**,1.0,1.0
3000-0005,ocr2,read_material_label,ocr_qa,What is the minimum clearance specified between the coats room to the stairs?,Minimum of 3',"3' minimum clearance (noted as ""3' MIN CLEAR"" between the coats closet and the stairs).",1.0,1.0
3000-0005,sp1,room_identification,spatial_qa,What is the name of the room located next to the DINING area on the right?,KITCHEN,KITCHEN,1.0,1.0
3000-0005,sp2,access_to_stairs,spatial_qa,Which room gives direct access to the stairs to the upper level?,LIVING ROOM,"The **Living Room** — the staircase (14R @ 7.7"", marked ""UP"") opens directly off it.",1.0,1.0
3000-0005,sp3,access_to_outside,spatial_qa,Which room provides direct access to the 3'x4' back stoop?,Mudroom,The **Mudroom** provides direct access to the 3'x4' back stoop.,1.0,1.0
Apple-headquarter-plan-15-page-01,cmp1,more_core_access_quadrant,comparison_qa,Which quadrant of the circular building is closer to the Tantau Auditorium and Visitor Parking Structure?,Quadrant 4 or the bottom right corner.,"The **southeast quadrant** of the circular main building is closest to the Tantau Auditorium and Visitor Parking Structure, which is located at the lower-right of the site along Tantau Avenue.",1.0,1.0
Apple-headquarter-plan-15-page-01,cnt1,count_access_cores,counting_qa,How many labeled access blocks are distributed around the building ring?,Nine (9),**Nine (9)** — there are nine access/core blocks (each labeled with the +164.0 elevation) spaced around the circular building ring.,1.0,1.0
Apple-headquarter-plan-15-page-01,cnt2,count_radial_paths,counting_qa,How many radial pedestrian paths originate from the courtyard center and extend outward?,Nine (9),"**Nine (9)** radial pedestrian paths radiate from the courtyard center, each aligned with one of the nine entry/circulation cores of the ring building (Apple Campus 2 main building).",1.0,1.0
Apple-headquarter-plan-15-page-01,ocr1,consulting_firms,ocr_qa,What are the consulting firms listed in the title block?,"6 consulting firms: Foster + Partners, Arup, OLIN, KIER & WRIGHT, alta and WATRY DESIGN, INC.","The consulting firms listed in the title block are:

1. **Foster + Partners** (architect)
2. **ARUP** (Arup North America Ltd.)
3. **OLIN** (landscape architecture and urban design)
4. **Kier & Wright** (civil engineering)
5. **Alta Planning + Design**
6. **Watry Design, Inc.**",1.0,1.0
Apple-headquarter-plan-15-page-01,ocr2,read_titleblock_client,ocr_qa,What is the client of the project written on the title block?,Apple Inc.,The client is **Apple Inc.**,1.0,1.0
Apple-headquarter-plan-15-page-01,ocr3,read_project_name,ocr_qa,What is the project name written on the title block?,Apple Campus 2,**Apple Campus 2**,1.0,1.0
Apple-headquarter-plan-15-page-01,ocr4,scale_reading,ocr_qa,What scale is listed in the title block for this plan?,"1"" = 64'","**1"" = 64'** (at Arch E1 sheet size).",1.0,1.0
Apple-headquarter-plan-15-page-01,ocr5,internal_radius,ocr_qa,What is the internal radius of the circular building?,"580'-11""","The internal (inner) radius is **580'-11""**, as labeled on the drawing.",1.0,1.0
Apple-headquarter-plan-15-page-01,ocr6,external_radius,ocr_qa,What is the external (outer) radius of the circular building?,"760'-7""","The outer radius is **760'-7""** (as labeled ""Outer radius"" on the plan).",1.0,1.0
Apple-headquarter-plan-15-page-01,ocr7,restaurant_space,ocr_qa,What is the size of Restaurant space in square feet?,"58,000 square feet","**58,000 sq ft** (as labeled ""Restaurant space 58,000 sq ft"" on the plan).",1.0,1.0
Apple-headquarter-plan-15-page-01,ocr8,right_side_road,ocr_qa,What is the name of the road labeled to the right side of the plan?,TANTAU AVENUE,**Tantau Avenue**,1.0,1.0
Apple-headquarter-plan-15-page-01,sp1,adjacency,spatial_qa,"Which side of the ring (north, south, east, or west), on the drawing, has the Apple transit center Bus drop off area?",East,"**East side** — the ""Apple transit center / Bus drop off"" label points to the east side of the ring, adjacent to Tantau Avenue.",1.0,1.0
Apple-headquarter-plan-15-page-02,cmp1,more_core_access_quadrant,comparison_qa,Which quadrant of the circular building has more core access?,Quadrant 1 or the top right corner.,"**The northeast quadrant** — it contains additional/denser core clusters (around the restaurant void area), whereas the other quadrants have cores spaced at regular, more widely distributed intervals.",1.0,1.0
Apple-headquarter-plan-15-page-02,cnt1,count_access_cores,counting_qa,How many labeled access blocks are distributed around the building ring on this sheet?,Nine (9),"**Eight (8)** access/core blocks are distributed around the ring — one at each of the eight radial positions (top, bottom, left, right, and the four diagonals), each marked with the 70'-2"" dimension.",0.0,0.0
Apple-headquarter-plan-15-page-02,cnt2,count_radial_dividers,counting_qa,How many radial division lines extend from the center to the ring?,Eight (8),**8 radial division lines** — dashed centerlines radiating from the center at 45° intervals out to the ring.,1.0,1.0
Apple-headquarter-plan-15-page-02,cnt3,count_section_callouts,counting_qa,How many section view callouts are present in the drawing?,Three (3),"**3 section view callouts** — one at the upper right (01 / P-10.01 / P-10.02), one at the left (01 / P-10.00), and one at the lower right (01 / P-10.03).",1.0,1.0
Apple-headquarter-plan-15-page-02,cnt4,count_consultants,counting_qa,How many consulting firms are included on this floor plan?,Five (5) consultants.,"**Five (5)** consulting firms are listed in the title block: Foster + Partners, Arup, OLIN, Kier & Wright, and Alta Planning + Design.",1.0,1.0
Apple-headquarter-plan-15-page-02,ocr1,scale_reading,ocr_qa,What is the drawing scale indicated in the title block?,"1"" = 64'","The drawing scale is **1"" = 64'** (at Arch E1 sheet size).",1.0,1.0
Apple-headquarter-plan-15-page-02,ocr2,sheet_number,ocr_qa,What sheet number is shown for this drawing?,P-8.02,**P-8.02**,1.0,1.0
Apple-headquarter-plan-15-page-02,ocr3,issued_date,ocr_qa,When was the issued date for the 'Planned development permit' revision?,08/09/11,"**08/09/11** — Revision 00, ""Planned Development Permit,"" was issued on 08/09/11.",1.0,1.0
Apple-headquarter-plan-15-page-02,sp1,orientation,spatial_qa,Are the access blocks positioned symmetrically across opposite sides of the ring?,"No, not symmetrically.","**Yes.** The access/core blocks are arranged in diametrically opposed pairs at regular intervals around the ring, mirroring each other across the building's center point (consistent with the repeating 91'-11"" / 505'-6"" segment dimensions on opposite sides).",0.0,0.0
Apple-headquarter-plan-15-page-02,sp2,general_notes_location,spatial_qa,Where is the General notes section located in the drawing?,The top right corner of the drawing.,"The General Notes section is located at the **top-right corner** of the drawing, at the top of the title block panel.",1.0,1.0
Apple-headquarter-plan-15-page-07,cmp1,no_internal_ramp_quadrant,comparison_qa,Which quadrant has no internal ramps?,The 3rd quadrant or the bottom left quadrant.,"**The southwest quadrant** — the red internal ramps appear in the northwest, northeast, east, and southeast portions of the ring, with none in the lower-left (SW) quadrant.",1.0,1.0
Apple-headquarter-plan-15-page-07,cmp2,more_internal_ramp_quadrant,comparison_qa,Which quadrant has more internal ramps?,The 1st quadrant or the top right quadrant.,"**The northeast (upper-right) quadrant** — it contains two internal ramps (shown in orange/red), while the northwest and southeast quadrants each have only one.",1.0,1.0
Apple-headquarter-plan-15-page-07,cnt1,total_parking_spaces,counting_qa,How many total parking spaces are provided on Basement Level 01 according to the legend?,"1,140 parking spaces","**1,140 parking spaces** (394 standard + 725 compact + 21 accessible).",1.0,1.0
Apple-headquarter-plan-15-page-07,cnt2,standard_parking_count,counting_qa,How many Standard parking spaces are indicated in the legend?,394 Standard parking spaces,"**394** Standard parking spaces (8'-6"" x 18'-0"").",1.0,1.0
Apple-headquarter-plan-15-page-07,cnt3,charging_and_accessible_counts,counting_qa,How many Accessible parking spaces and Electrical charging stations are indicated in the legend?,21 Accessible parking spaces and 270 Electrical charging stations,"The legend indicates **21 Accessible parking spaces** (9'-0"" x 18'-0"") and **270 Electrical charging stations** (included in Standard and Compact spaces).",1.0,1.0
Apple-headquarter-plan-15-page-07,cnt4,count_consultants,counting_qa,How many consulting firms are included on this floor plan?,Four (4) consultants.,"**Four consulting firms** are shown in the title block: Foster + Partners, Arup North America Ltd., OLIN, and Kier & Wright.",1.0,1.0
Apple-headquarter-plan-15-page-07,ocr1,sheet_title,ocr_qa,What is the sheet title printed in the title block?,Main Building Basement Level 1 Stall Size Plan,**Main Building Basement Level 1 Stall Size Plan**,1.0,1.0
Apple-headquarter-plan-15-page-07,ocr2,sheet_number,ocr_qa,What sheet number is shown for this drawing?,P-8.09,**P-8.09**,1.0,1.0
Apple-headquarter-plan-15-page-07,ocr3,scale_reading,ocr_qa,What is the drawing scale indicated in the title block?,"1"" = 64'","The drawing scale indicated in the title block is **1"" = 64'** (at Arch E1 sheet size).",1.0,1.0
Apple-headquarter-plan-15-page-07,sp1,legend_location,spatial_qa,Where on the sheet is the legend describing the parking space types located?,In the upper-left portion of the drawing area.,"The legend is in the **upper-left corner** of the sheet, under the heading ""Basement Level 01: 1,140 Parking spaces,"" listing standard, compact, accessible spaces, electrical charging stations, internal ramps, and mechanical shaft.",1.0,1.0
Apple-headquarter-plan-15-page-07,sp2,titleblock_location,spatial_qa,Where is the main title block located on the sheet?,Along the right edge near the lower-right corner.,"The main title block is located along the **right-hand edge of the sheet**, running vertically, with the title information (""Main Building Basement Level 1 Stall Size Plan"", sheet number P-8.09) in the **bottom-right corner**.",1.0,1.0
Apple-headquarter-plan-15-page-13,cmp1,more_stairwell,comparison_qa,Which side of the elevator shaft has more stairwell? Left or right?,The right side,"**Right.** The right stairwell contains more stair flights — it extends down through the basement levels (B1/B2), while the left stairwell only serves the upper floor levels.",1.0,1.0
Apple-headquarter-plan-15-page-13,cnt1,identify_vertical_elements,counting_qa,How many vertical circulation elements are shown in the section?,Two stairwells and one central elevator shaft.,**Three** — two stairwells (one on each side) and one central elevator shaft.,1.0,1.0
Apple-headquarter-plan-15-page-13,cnt2,count_lobby_levels,counting_qa,How many lobby levels are visible in the section?,Six (6) lobby levels.,**Six lobby levels** — four above grade (FFL Levels 1–4) and two below grade (FFL Levels B1 and B2).,1.0,1.0
Apple-headquarter-plan-15-page-13,cnt3,parking_levels,counting_qa,How many parking levels are visible below grade?,Two (2) parking levels.,"**Two** — levels B1 and B2 below grade are both labeled ""Parking.""",1.0,1.0
Apple-headquarter-plan-15-page-13,cnt4,count_consultants,counting_qa,How many consulting firms are included on this floor plan?,Five (5) consultants.,"**Five (5)** consulting firms are listed on the drawing: Foster + Partners, Arup, OLIN, Kier & Wright, and Alta Planning + Design.",1.0,1.0
Apple-headquarter-plan-15-page-13,ocr1,sheet_title,ocr_qa,What is the sheet title printed in the title block?,Proposed Main Building Section Typical Entrance,"**""Proposed Main Building Section — Typical Entrance""**",1.0,1.0
Apple-headquarter-plan-15-page-13,ocr2,sheet_number,ocr_qa,What sheet number is shown for this drawing?,P-10.00,The sheet number is **P-10.00**.,1.0,1.0
Apple-headquarter-plan-15-page-13,ocr3,scale_reading,ocr_qa,What is the drawing scale indicated in the title block?,"1/8"" = 1'","The drawing scale is **1/8"" = 1'** (at Arch E1 sheet size).",1.0,1.0
Apple-headquarter-plan-15-page-13,ocr4,project_number,ocr_qa,What is the project number written in the title block?,1858,The project number is **1858**.,1.0,1.0
Apple-headquarter-plan-15-page-13,ocr5,top_elevation,ocr_qa,What is the elevation of the top of the penthouse?,"El. +237'-4""","**EL. +237'-4""**",1.0,1.0
